table with row headers in column B and column headers in rows 3 through 4,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 50,000 or More, Ranked by July 1, 2019 Population: April 1, 2010 to July 1, 2019",,,,,,,,,,,,,
Rank,Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
202,"Visalia city, California","124,442","124,528","124,869","125,649","126,420","127,309","128,482","129,369","130,662","132,388","133,428","134,605"
203,"Hampton city, Virginia","137,436","137,464","137,415","136,628","137,177","137,332","137,680","136,264","135,374","134,725","134,330","134,510"
204,"Gainesville city, Florida","124,354","124,504","124,681","125,671","125,993","126,340","127,571","129,356","131,580","132,041","133,665","133,997"
205,"Warren city, Michigan","134,056","134,070","134,081","134,173","134,590","135,312","135,666","135,386","135,245","135,100","134,376","133,943"
206,"Coral Springs city, Florida","121,096","122,588","122,887","125,141","126,682","127,788","128,847","130,160","131,753","133,542","133,712","133,759"
207,"Cedar Rapids city, Iowa","126,326","126,580","126,852","128,231","128,478","128,826","129,662","130,832","131,397","132,564","133,209","133,562"
208,"Round Rock city, Texas","99,887","100,021","100,772","103,864","106,504","109,547","112,665","115,981","120,864","123,684","128,849","133,372"
209,"Sterling Heights city, Michigan","129,699","129,675","129,709","130,042","130,672","131,521","132,136","132,041","132,522","132,681","132,725","132,438"
210,"Kent city, Washington","92,411","118,620","119,067","122,165","124,739","126,118","127,727","129,241","130,508","131,697","131,734","132,319"
211,"Columbia city, South Carolina","129,272","130,421","130,774","131,302","131,761","131,527","131,781","133,616","134,129","134,005","132,770","131,674"
212,"Santa Clara city, California","116,468","116,453","116,761","117,836","119,337","120,486","121,967","126,024","126,429","126,709","129,085","130,365"
213,"New Haven city, Connecticut","129,779","129,884","129,816","130,845","131,114","130,906","130,611","130,383","130,417","130,653","129,993","130,250"
214,"Stamford city, Connecticut","122,643","122,633","122,781","123,988","125,046","126,306","127,951","128,352","128,974","129,880","129,806","129,638"
215,"Concord city, California","122,067","122,169","122,505","123,518","124,678","125,888","127,128","128,303","129,036","129,592","129,743","129,295"
216,"Elizabeth city, New Jersey","124,969","124,973","125,257","125,792","126,595","127,278","127,658","127,661","127,968","128,175","128,599","129,216"
217,"Athens-Clarke County unified government (balance), Georgia","115,452","115,387","116,102","116,928","118,584","119,566","119,059","122,213","123,523","125,409","125,857","126,913"
218,"Thousand Oaks city, California","126,683","126,490","126,732","127,325","127,657","128,224","128,636","128,632","128,480","128,229","127,279","126,813"
219,"Lafayette city, Louisiana","120,623","121,667","121,836","122,674","123,587","124,873","126,036","126,922","127,221","126,526","126,371","126,185"
220,"Simi Valley city, California","124,237","124,242","124,463","125,019","125,274","125,868","126,239","126,123","125,958","126,107","125,438","125,613"
221,"Topeka city, Kansas","127,473","127,630","127,914","128,228","128,095","127,725","127,489","127,396","126,948","126,517","125,778","125,310"
222,"Norman city, Oklahoma","110,925","110,911","111,402","113,882","115,600","118,695","118,228","120,239","121,974","123,390","123,844","124,880"
223,"Fargo city, North Dakota","105,549","105,625","106,025","108,142","110,881","113,739","115,715","118,093","120,149","122,420","124,091","124,662"
224,"Wilmington city, North Carolina","106,476","106,456","106,754","108,141","109,658","111,686","113,320","115,050","118,770","120,836","122,616","123,744"
225,"Abilene city, Texas","117,063","117,514","117,805","118,762","119,853","119,797","120,648","121,707","121,883","122,186","122,775","123,420"
226,"Odessa city, Texas","99,940","99,876","99,817","102,009","105,908","110,158","114,430","118,421","117,159","116,418","120,037","123,334"
227,"Columbia city, Missouri","108,500","109,044","109,429","111,514","113,553","115,440","117,028","118,570","120,248","121,539","122,533","123,195"
228,"Pearland city, Texas","91,252","93,117","94,063","96,271","99,283","102,832","106,027","111,267","115,926","119,312","121,424","122,460"
229,"Victorville city, California","115,903","115,899","116,278","117,891","119,831","120,697","121,087","121,442","121,725","121,988","121,952","122,385"
230,"Hartford city, Connecticut","124,775","124,765","125,354","125,434","125,266","125,128","124,665","124,311","123,654","122,888","122,556","122,105"
231,"Vallejo city, California","115,942","115,914","116,137","116,709","117,599","118,550","119,602","120,477","120,949","121,546","121,677","121,692"
232,"Allentown city, Pennsylvania","118,032","118,095","118,113","118,782","118,878","118,826","119,167","120,071","120,420","121,047","121,537","121,442"
233,"Berkeley city, California","112,580","112,513","112,889","113,968","115,309","116,944","118,697","120,749","121,547","122,164","121,663","121,363"
234,"Richardson city, Texas","99,223","99,251","99,581","101,660","103,695","105,166","109,134","110,883","113,910","116,237","119,878","121,323"
235,"Arvada city, Colorado","106,433","106,760","106,917","108,084","110,229","111,872","113,692","115,406","117,710","118,950","120,421","121,272"
236,"Ann Arbor city, Michigan","113,934","113,988","114,173","115,539","116,079","116,820","118,716","119,884","120,919","121,493","121,429","119,980"
237,"Rochester city, Minnesota","106,769","106,823","107,047","108,097","108,916","110,427","111,198","112,160","114,051","115,586","117,047","118,935"
238,"Cambridge city, Massachusetts","105,162","105,148","105,008","105,884","107,886","112,036","112,993","113,471","115,685","116,869","118,151","118,927"
239,"Sugar Land city, Texas","78,817","107,835","108,403","109,854","111,277","113,490","116,807","118,405","118,784","118,967","118,777","118,488"
240,"Lansing city, Michigan","114,297","114,265","114,321","114,559","114,661","114,734","115,093","115,324","116,569","117,730","117,931","118,210"
241,"Evansville city, Indiana","117,429","120,069","120,091","120,216","120,266","120,295","120,153","119,487","119,004","118,331","118,060","117,979"
242,"College Station city, Texas","93,857","94,225","94,666","95,671","97,761","100,601","103,469","108,952","111,068","114,483","116,035","117,911"
243,"Fairfield city, California","105,321","105,467","105,598","106,245","107,497","109,137","110,727","112,365","114,456","115,817","116,678","117,133"
244,"Clearwater city, Florida","107,685","109,139","109,052","109,204","109,538","110,279","111,167","112,939","114,175","115,482","116,324","116,946"
245,"Beaumont city, Texas","118,296","117,278","117,378","117,908","117,033","118,068","117,812","118,603","118,734","118,953","117,667","116,825"
246,"Independence city, Missouri","116,830","116,812","116,891","116,917","117,318","117,281","117,505","117,260","117,268","117,197","117,017","116,672"
247,"Provo city, Utah","112,488","112,487","112,923","115,191","115,559","116,119","115,378","114,596","116,627","117,583","116,630","116,618"
248,"West Jordan city, Utah","103,712","103,601","104,023","106,349","108,086","109,735","110,416","111,293","113,325","113,945","115,610","116,480"
249,"Murrieta city, California","103,466","103,731","104,229","105,370","106,509","107,361","108,037","109,372","111,492","112,995","114,715","116,223"
250,"Palm Bay city, Florida","103,190","104,006","104,138","104,131","104,819","105,329","106,237","108,160","110,289","112,217","113,854","115,552"
251,"El Monte city, California","113,475","113,531","113,677","114,101","114,843","115,414","115,627","115,824","115,550","115,514","115,308","115,487"
252,"Carlsbad city, California","105,328","105,328","105,674","107,460","108,948","110,665","111,609","112,662","113,265","114,477","115,518","115,382"
252,"North Charleston city, South Carolina","97,471","97,579","97,949","99,898","101,994","104,050","106,754","108,597","109,738","110,820","113,077","115,382"
254,"Temecula city, California","100,097","100,013","100,703","102,640","104,295","106,073","108,671","111,140","112,402","113,987","114,614","114,761"
255,"Clovis city, California","95,631","95,980","96,386","97,557","98,588","99,631","101,904","103,828","106,353","109,316","111,824","114,584"
256,"Springfield city, Illinois","116,250","116,996","117,138","117,786","117,928","117,633","117,489","117,221","116,536","115,771","114,840","114,230"
257,"Meridian city, Idaho","75,092","76,986","77,428","79,723","82,125","85,086","89,174","92,144","96,227","100,539","106,464","114,161"
258,"Westminster city, Colorado","106,114","106,135","106,434","107,739","109,083","110,422","111,517","112,420","112,984","112,961","113,227","113,166"
259,"Costa Mesa city, California","109,960","110,078","110,221","111,151","111,790","112,244","112,485","112,808","112,933","113,665","113,302","113,003"
260,"High Point city, North Carolina","104,371","104,526","104,710","105,823","106,567","107,573","108,797","110,232","111,533","111,746","112,073","112,791"
261,"Manchester city, New Hampshire","109,565","109,549","109,613","110,281","110,888","111,008","111,198","111,275","111,903","112,235","112,492","112,673"
262,"Pueblo city, Colorado","106,595","106,542","106,755","107,146","107,476","107,670","107,823","108,955","110,118","111,059","111,725","112,361"
263,"Lakeland city, Florida","97,422","97,270","97,640","98,834","99,000","100,326","102,034","103,550","105,837","107,712","110,421","112,136"
264,"Pompano Beach city, Florida","99,845","99,839","100,063","101,756","102,888","104,183","105,500","106,937","109,358","110,354","111,636","112,118"
265,"West Palm Beach city, Florida","99,919","100,665","100,813","101,498","102,526","103,420","104,314","106,850","108,740","110,328","111,058","111,955"
266,"Antioch city, California","102,372","102,745","103,080","104,193","105,565","107,351","109,071","110,308","111,088","111,494","111,578","111,502"
267,"Everett city, Washington","103,019","102,953","103,173","103,445","104,436","105,048","106,460","107,077","108,931","110,169","111,088","111,475"
268,"Downey city, California","111,772","111,775","111,785","112,215","112,582","112,858","113,091","113,260","112,896","112,426","111,915","111,126"
269,"Lowell city, Massachusetts","106,519","106,525","106,782","107,774","108,803","109,757","110,537","111,142","111,226","111,738","111,362","110,997"
270,"Centennial city, Colorado","100,377","100,635","100,989","102,508","104,249","106,634","107,438","109,120","109,735","110,388","110,814","110,937"
271,"Elgin city, Illinois","108,188","108,219","108,388","109,225","109,710","110,149","111,059","111,992","112,265","112,103","111,490","110,849"
272,"Richmond city, California","103,701","103,255","103,631","104,882","106,023","107,083","107,921","109,062","109,663","109,860","110,189","110,567"
273,"Peoria city, Illinois","115,007","115,150","114,980","115,426","115,798","116,646","115,955","115,183","114,227","112,618","111,449","110,417"
274,"Broken Arrow city, Oklahoma","98,850","98,837","99,246","100,199","102,179","103,603","104,944","106,842","107,884","108,395","109,068","110,198"
275,"Miami Gardens city, Florida","107,167","107,163","107,516","108,859","110,056","110,842","110,943","111,561","111,884","112,220","111,144","110,001"
276,"Billings city, Montana","104,170","104,284","104,509","105,458","106,765","108,561","108,434","109,599","109,620","109,797","109,444","109,577"
277,"Jurupa Valley city, California",(X),"94,986","95,590","97,195","98,350","99,469","100,080","101,460","103,240","105,760","108,314","109,527"
278,"Sandy Springs city, Georgia","93,853","93,826","94,275","96,677","98,882","99,377","101,371","104,789","105,578","106,634","108,846","109,452"
279,"Gresham city, Oregon","105,594","105,639","106,008","107,720","108,779","109,221","110,029","110,378","111,762","111,243","109,808","109,381"
280,"Lewisville city, Texas","95,290","95,459","95,930","97,636","99,703","101,156","102,963","103,956","105,030","106,439","106,938","109,212"
281,"Hillsboro city, Oregon","91,611","92,265","92,559","94,274","96,343","98,160","99,827","102,550","105,374","107,433","108,201","109,128"
282,"San Buenaventura (Ventura) city, California","106,433","107,217","107,435","108,306","109,002","109,339","109,535","109,668","109,893","110,093","110,731","109,106"
283,"Greeley city, Colorado","92,889","92,950","93,308","94,466","95,597","96,848","99,055","101,763","104,751","106,780","107,475","108,649"
284,"Inglewood city, California","109,673","109,649","109,658","110,501","110,866","110,954","110,840","110,693","110,271","109,907","109,038","108,151"
285,"Waterbury city, Connecticut","110,366","110,309","110,350","110,074","110,019","109,733","109,524","108,993","108,453","108,277","108,123","107,568"
286,"League City city, Texas","83,560","83,584","84,096","86,278","88,242","90,790","94,121","97,860","101,669","104,442","106,005","107,536"
287,"Santa Maria city, California","99,553","99,596","99,689","100,293","101,116","102,057","103,021","104,462","105,811","106,298","107,218","107,263"
288,"Tyler city, Texas","96,900","96,852","97,140","98,015","98,941","99,730","101,557","102,712","103,904","104,738","105,668","106,985"
289,"Davie town, Florida","91,992","91,950","92,315","94,455","95,776","97,599","99,179","101,229","103,255","105,136","106,131","106,306"
290,"Daly City city, California","101,123","101,116","101,262","102,460","103,915","104,980","105,887","106,538","106,882","106,733","106,869","106,280"
291,"Boulder city, Colorado","97,385","97,612","97,752","100,137","101,160","102,719","104,451","106,742","107,128","106,447","106,008","105,673"
292,"Allen city, Texas","84,246","84,273","84,921","87,680","89,812","92,173","94,215","98,344","99,742","101,214","103,577","105,623"
293,"West Covina city, California","106,098","106,108","106,123","106,721","107,082","107,348","107,447","107,540","107,437","106,942","105,964","105,101"
294,"Sparks city, Nevada","90,264","91,117","91,237","91,616","92,406","93,317","94,561","95,759","98,068","100,048","103,979","105,006"
295,"Wichita Falls city, Texas","104,553","104,682","104,790","103,966","104,628","104,948","105,208","103,892","104,075","104,325","104,356","104,683"
296,"Green Bay city, Wisconsin","104,057","103,882","103,946","104,302","104,621","104,593","104,635","104,792","104,721","104,977","104,833","104,578"
297,"San Mateo city, California","97,207","97,195","97,383","98,518","99,816","101,323","102,695","103,509","104,357","104,389","104,885","104,430"
298,"Norwalk city, California","105,549","105,549","105,544","105,903","105,976","106,122","106,189","106,237","105,844","105,466","104,798","103,949"
299,"Rialto city, California","99,171","99,103","99,329","100,563","101,278","101,547","102,031","102,485","102,896","103,234","103,232","103,526"
300,"Las Cruces city, New Mexico","97,618","97,706","98,284","100,212","101,045","101,238","101,192","101,113","101,313","101,963","102,812","103,432"
301,"Chico city, California","86,187","86,798","86,783","87,269","87,915","88,362","89,491","90,369","91,564","93,066","94,342","103,301"
302,"El Cajon city, California","99,478","99,584","99,823","100,795","101,537","102,303","102,789","103,230","103,527","103,468","103,041","102,708"
303,"Burbank city, California","103,340","103,357","103,351","103,732","104,077","104,355","104,405","104,472","104,097","104,174","103,349","102,511"
304,"South Bend city, Indiana","101,168","101,249","101,197","101,224","101,056","101,226","101,489","101,687","101,996","102,021","101,971","102,026"
305,"Renton city, Washington","90,927","91,912","92,351","94,131","95,941","97,090","98,588","100,455","101,513","101,981","101,787","101,751"
306,"Vista city, California","93,834","93,186","93,401","94,355","95,307","96,211","96,999","99,623","100,746","100,740","100,784","101,638"
307,"Davenport city, Iowa","99,685","99,701","99,678","100,302","101,165","102,053","102,471","102,534","102,456","102,310","101,918","101,590"
308,"Edinburg city, Texas","77,100","82,018","82,504","84,796","86,263","88,355","90,342","91,780","92,776","95,427","98,036","101,170"
309,"Tuscaloosa city, Alabama","90,468","90,275","90,456","90,913","92,307","93,886","95,688","97,576","98,428","99,629","100,190","101,129"
310,"Carmel city, Indiana","79,191","83,887","84,508","86,508","88,566","90,947","91,569","92,998","96,114","97,400","99,143","101,068"
311,"Spokane Valley city, Washington","89,755","89,745","90,047","90,665","90,659","91,240","92,569","94,163","95,652","97,570","99,308","101,060"
312,"San Angelo city, Texas","93,200","93,221","93,626","94,532","95,841","97,057","98,567","99,704","99,790","99,678","100,009","101,004"
313,"Vacaville city, California","92,428","92,422","92,557","93,225","93,660","94,023","95,394","96,224","97,994","99,604","99,949","100,670"
314,"Bend city, Oregon","76,639","76,660","76,663","77,575","78,617","80,906","83,526","86,277","90,665","94,557","97,620","100,421"
315,"Kenosha city, Wisconsin","99,218","99,279","99,397","99,560","99,859","99,704","99,728","99,479","99,388","99,785","99,908","99,944"
316,"Boca Raton city, Florida","84,392","84,409","85,158","86,460","87,646","89,689","91,276","93,498","96,427","98,236","99,351","99,805"
317,"Lee's Summit city, Missouri","91,364","91,368","91,526","91,920","92,376","92,968","93,727","94,871","96,034","97,169","98,522","99,357"
318,"Nampa city, Idaho","81,557","81,879","81,998","82,716","83,941","86,377","87,894","89,527","91,114","93,707","96,213","99,277"
319,"Rio Rancho city, New Mexico","87,521","87,387","87,977","89,499","90,444","91,334","91,963","93,116","94,511","96,285","97,982","99,178"
320,"South Fulton city, Georgia",(X),"85,589","86,142","88,696","91,019","91,757","92,494","93,516","95,264","96,078","97,278","99,155"
321,"Roanoke city, Virginia","97,032","96,910","96,720","96,782","98,011","98,849","99,427","99,669","99,337","98,986","99,009","99,143"
322,"Beaverton city, Oregon","89,803","89,725","90,100","91,569","92,558","93,279","94,714","95,863","97,738","97,824","98,775","99,037"
323,"Yuma city, Arizona","93,064","90,717","91,328","94,241","93,701","92,998","93,624","94,155","95,259","96,399","97,648","98,285"
324,"Lawrence city, Kansas","87,643","87,918","88,232","89,301","90,118","91,348","92,881","94,207","95,655","96,637","97,187","98,193"
325,"Orem city, Utah","88,328","88,328","88,722","89,605","90,578","91,318","91,362","93,777","96,902","97,674","97,430","97,828"
326,"Longmont city, Colorado","86,270","86,327","86,440","87,691","88,903","90,221","90,623","92,280","93,269","94,637","96,536","97,261"
327,"San Marcos city, California","83,781","83,631","83,926","85,001","86,816","89,423","92,372","93,199","94,932","95,614","96,480","96,664"
328,"Albany city, New York","97,856","97,845","97,753","97,956","98,409","98,488","98,366","98,232","97,941","97,735","97,011","96,460"
329,"Sandy city, Utah","87,461","90,180","90,227","91,076","91,929","92,599","93,341","94,537","96,444","96,406","96,737","96,380"
330,"Concord city, North Carolina","79,066","79,389","79,571","80,725","82,134","83,416","85,395","87,490","89,763","92,164","94,192","96,341"
331,"Federal Way city, Washington","89,306","89,295","89,556","90,664","91,913","92,632","93,421","95,254","97,131","97,274","96,726","96,289"
332,"Hesperia city, California","90,173","90,100","90,279","91,168","91,568","91,777","92,071","92,653","93,251","94,473","95,013","95,750"
333,"Brockton city, Massachusetts","93,810","93,767","93,809","94,117","94,050","94,361","94,858","95,425","95,441","95,682","95,723","95,708"
334,"Compton city, California","96,455","96,404","96,442","96,933","97,350","97,600","97,634","97,639","97,281","97,047","96,348","95,605"
335,"Flint city, Michigan","102,434","102,266","102,035","101,256","100,233","99,479","98,617","97,823","97,110","96,460","95,926","95,538"
336,"Erie city, Pennsylvania","101,786","101,738","101,719","101,511","101,290","100,532","99,714","99,030","98,211","97,214","96,298","95,508"
337,"New Bedford city, Massachusetts","95,072","95,071","95,059","94,896","94,998","95,065","95,121","95,128","95,135","95,083","95,371","95,363"
338,"Fishers city, Indiana","76,794","77,293","77,832","80,503","82,389","84,416","86,865","88,656","89,809","91,606","93,407","95,310"
339,"Sunrise city, Florida","84,439","84,306","84,548","86,303","88,582","89,757","90,661","91,928","93,668","94,274","95,219","95,166"
340,"Roswell city, Georgia","88,346","88,332","88,794","90,902","93,210","93,661","93,597","93,827","94,549","94,699","94,665","94,763"
341,"Menifee city, California","77,519","77,382","77,929","79,665","81,026","83,045","84,522","86,411","88,057","90,104","92,249","94,756"
342,"Tracy city, California","82,922","83,423","83,620","84,302","84,727","84,872","85,713","86,953","89,181","90,701","91,818","94,740"
343,"Plantation city, Florida","84,955","84,883","85,331","86,874","87,928","90,051","90,968","91,904","92,767","93,824","94,019","94,580"
344,"Quincy city, Massachusetts","92,271","92,262","92,457","92,544","92,973","93,470","93,685","93,766","94,130","94,322","94,403","94,470"
345,"Portsmouth city, Virginia","95,535","95,526","95,451","95,748","96,480","96,075","95,829","96,336","95,165","94,838","94,750","94,398"
346,"Mission Viejo city, California","93,305","93,103","93,225","94,020","94,627","96,003","96,622","96,543","96,149","95,551","94,925","94,381"
347,"Chino city, California","77,983","78,069","78,644","79,591","79,949","80,799","84,296","85,169","87,468","89,601","91,356","94,371"
348,"Lynn city, Massachusetts","90,329","90,324","90,532","90,709","91,437","92,025","92,565","93,057","93,185","93,915","94,336","94,299"
349,"Edmond city, Oklahoma","81,405","81,130","81,451","82,910","84,877","86,926","88,599","90,118","91,388","91,700","92,893","94,054"
350,"Dearborn city, Michigan","98,153","98,146","97,849","97,173","96,878","96,065","95,973","95,488","95,052","94,708","94,379","93,932"
351,"Livonia city, Michigan","96,942","96,857","96,627","96,142","95,921","95,239","95,229","94,843","94,507","94,237","94,019","93,665"
352,"Yakima city, Washington","91,067","91,273","91,637","92,605","92,654","92,713","92,790","92,953","93,429","93,500","93,548","93,637"
353,"South Gate city, California","94,396","94,412","94,434","94,591","94,577","94,674","94,741","95,597","95,245","94,848","94,135","93,444"
354,"Greenville city, North Carolina","84,554","84,711","85,096","86,269","87,625","88,847","89,242","90,499","90,966","92,008","92,689","93,400"
355,"Lawton city, Oklahoma","96,867","96,867","97,849","98,208","98,415","96,977","96,660","95,965","94,117","94,009","92,945","93,025"
356,"Kirkland city, Washington","48,787","80,585","80,866","82,036","83,358","84,455","85,971","87,312","87,990","89,010","89,909","93,010"
357,"Asheville city, North Carolina","83,393","83,420","83,459","84,457","85,321","86,355","87,837","89,374","91,123","91,748","92,630","92,870"
358,"Deltona city, Florida","85,182","85,131","85,096","84,979","85,139","85,583","86,295","87,728","89,314","90,586","91,718","92,757"
359,"Redding city, California","89,861","89,857","89,895","90,180","90,397","90,773","91,120","90,963","91,203","91,525","91,606","92,590"
360,"Bellingham city, Washington","80,885","81,205","81,297","81,859","82,299","82,593","83,386","84,998","86,954","89,031","90,464","92,314"
361,"Suffolk city, Virginia","84,585","84,565","84,813","84,750","85,251","85,751","86,882","88,079","89,194","90,108","90,975","92,108"
362,"Indio city, California","76,036","79,166","79,665","81,046","82,250","83,358","85,127","86,917","88,196","89,438","90,970","91,765"
363,"Mount Pleasant town, South Carolina","67,843","68,360","68,509","69,807","72,172","74,906","77,937","81,617","84,476","87,295","89,869","91,684"
364,"Carson city, California","91,714","91,711","91,599","91,690","92,162","92,535","92,684","92,752","92,572","92,193","91,626","91,394"
365,"Santa Barbara city, California","88,410","88,380","88,468","88,605","89,285","90,082","90,815","91,275","91,518","91,517","91,203","91,364"
366,"Conroe city, Texas","56,207","65,392","65,731","67,352","69,662","70,676","73,779","76,322","82,068","84,809","87,578","91,079"
367,"Westminster city, California","89,701","89,619","89,772","90,710","91,223","91,624","91,555","91,582","91,510","91,176","90,742","90,643"
368,"Santa Monica city, California","89,736","89,742","89,759","90,476","91,327","92,050","92,087","92,422","92,176","91,747","91,106","90,401"
369,"New Braunfels city, Texas","57,740","57,676","58,059","59,319","60,885","63,025","65,902","70,133","73,351","78,902","84,495","90,209"
370,"Livermore city, California","80,968","81,426","81,599","82,589","83,831","85,448","87,017","88,248","89,572","90,137","90,253","90,189"
371,"Palm Coast city, Florida","75,180","75,199","75,499","76,641","77,363","78,409","80,027","81,938","84,155","86,146","87,660","89,800"
372,"St. George city, Utah","72,897","72,759","72,837","73,789","75,010","76,275","77,942","79,574","81,696","84,547","87,113","89,587"
373,"Fall River city, Massachusetts","88,857","88,865","88,882","88,827","88,852","88,992","89,148","89,258","89,287","89,298","89,630","89,541"
374,"Nashua city, New Hampshire","86,494","86,475","86,567","86,809","86,927","87,324","87,651","88,271","88,648","88,990","88,871","89,355"
375,"Champaign city, Illinois","81,055","81,246","81,405","82,330","83,202","84,112","84,953","86,218","87,244","87,839","87,994","88,909"
376,"Miami Beach city, Florida","87,779","87,380","87,722","88,713","89,566","90,152","90,184","90,570","90,652","90,642","89,808","88,885"
377,"Norwalk city, Connecticut","85,603","85,612","85,956","86,611","87,257","87,728","88,023","88,248","88,441","88,357","89,061","88,816"
378,"San Leandro city, California","84,950","84,977","85,119","85,921","86,976","88,074","89,195","90,538","90,706","90,418","89,713","88,815"
379,"O'Fallon city, Missouri","79,329","79,597","79,964","81,184","82,136","83,136","84,221","85,061","86,449","87,523","88,364","88,673"
380,"Newton city, Massachusetts","85,146","85,089","85,373","85,827","87,029","87,479","88,269","88,588","88,569","88,836","88,641","88,414"
381,"Reading city, Pennsylvania","88,082","87,994","88,040","88,195","88,141","88,264","88,171","88,047","88,128","88,134","88,542","88,375"
382,"Avondale city, Arizona","76,238","76,132","76,232","77,279","78,718","79,745","80,726","81,924","83,288","84,742","85,715","87,931"
383,"Fort Smith city, Arkansas","86,209","86,266","86,291","87,205","87,624","87,385","87,131","87,677","87,561","87,834","87,720","87,891"
384,"Citrus Heights city, California","83,301","83,184","83,273","83,781","84,308","84,924","85,665","86,543","87,179","87,675","87,707","87,796"
385,"Ogden city, Utah","82,825","82,887","83,100","83,312","83,874","84,180","84,406","85,295","86,742","87,061","87,202","87,773"
386,"Fayetteville city, Arkansas","73,580","73,580","73,962","75,604","76,969","78,652","80,417","82,332","83,620","85,587","86,615","87,590"
387,"Fort Myers city, Florida","62,298","62,305","62,503","63,818","65,504","67,802","70,449","73,470","76,752","80,015","82,229","87,103"
388,"Goodyear city, Arizona","65,275","65,261","65,502","66,589","67,822","70,392","72,346","74,815","77,412","79,945","82,873","86,840"
389,"Bryan city, Texas","76,201","76,226","76,517","77,196","77,832","78,939","80,667","82,052","83,171","84,188","84,817","86,276"
390,"Waukegan city, Illinois","89,078","89,115","89,167","88,998","88,799","88,897","88,791","88,369","88,157","87,615","86,680","86,075"
391,"Hawthorne city, California","84,293","84,290","84,295","84,922","85,359","85,863","86,740","87,669","87,685","87,308","86,671","86,068"
392,"Redwood City city, California","76,815","76,817","77,010","77,970","79,188","81,034","82,741","85,274","85,293","86,394","86,105","85,925"
393,"Hoover city, Alabama","81,619","80,823","80,953","81,617","82,952","83,581","84,005","84,592","84,895","85,235","85,517","85,768"
394,"Bloomington city, Indiana","80,405","80,293","80,612","81,497","82,160","82,457","83,162","83,596","84,387","84,837","85,139","85,755"
395,"Duluth city, Minnesota","86,265","86,266","86,191","86,239","86,162","86,045","86,095","85,985","86,084","85,979","85,856","85,618"
396,"Lake Forest city, California","77,264","77,445","77,552","78,299","78,727","79,112","79,678","81,964","83,019","83,878","85,381","85,531"
397,"Hemet city, California","78,657","78,630","79,090","80,226","81,033","81,718","82,541","83,305","84,121","84,809","85,148","85,334"
398,"Whittier city, California","85,331","85,313","85,319","85,633","85,968","86,326","86,482","86,705","86,600","86,326","85,791","85,098"
399,"Clifton city, New Jersey","84,136","84,117","84,169","84,690","84,695","84,898","85,141","85,240","85,192","85,267","85,251","85,052"
400,"Largo city, Florida","77,648","79,439","79,372","79,480","79,738","80,422","80,852","81,903","84,088","84,686","84,937","84,948"
401,"Bloomington city, Minnesota","82,893","82,893","83,036","83,937","84,867","85,078","85,052","85,190","85,459","85,588","85,474","84,943"
402,"Danbury city, Connecticut","80,893","80,893","81,308","82,085","82,777","83,577","83,681","84,200","84,927","84,616","84,675","84,694"
403,"Santa Fe city, New Mexico","67,947","80,871","81,012","81,706","82,144","82,584","82,824","83,117","83,515","83,954","84,211","84,683"
404,"Johns Creek city, Georgia","76,728","76,638","77,090","79,218","81,852","82,455","82,743","82,980","83,930","84,282","84,320","84,579"
405,"Newport Beach city, California","85,186","85,211","85,329","86,073","86,522","86,877","86,688","86,585","86,510","85,740","85,074","84,534"
406,"Kennewick city, Washington","73,917","73,994","74,447","75,585","75,930","76,579","77,339","78,724","80,081","81,621","82,696","84,347"
407,"Mission city, Texas","77,058","77,695","78,118","79,728","80,920","81,486","82,167","82,823","83,257","83,576","83,958","84,331"
408,"Milpitas city, California","66,790","66,820","66,729","67,124","68,862","69,944","73,560","77,485","77,829","77,874","80,208","84,196"
409,"Troy city, Michigan","80,980","80,972","81,020","81,649","82,271","83,007","83,399","83,496","84,092","84,187","84,111","84,092"
410,"Chino Hills city, California","74,799","74,792","74,963","75,639","76,042","76,285","76,509","77,826","78,452","80,115","83,239","83,853"
411,"Alhambra city, California","83,089","83,119","83,160","83,594","84,120","84,337","84,786","84,843","85,221","84,878","84,373","83,750"
412,"Merced city, California","78,958","78,958","79,131","79,705","80,231","80,703","81,120","81,775","82,232","82,589","83,113","83,676"
413,"Trenton city, New Jersey","84,913","84,959","85,004","84,854","84,631","84,503","84,042","83,519","83,313","83,497","83,604","83,203"
414,"Franklin city, Tennessee","62,487","62,569","62,820","64,357","66,359","68,876","70,620","72,573","74,695","78,265","81,027","83,097"
415,"Medford city, Oregon","74,907","74,992","75,043","75,617","76,153","76,840","77,763","78,990","80,174","81,191","82,333","83,072"
416,"Melbourne city, Florida","76,068","76,217","76,363","76,537","76,854","77,393","78,276","79,323","80,656","81,822","82,603","83,029"
417,"Manteca city, California","67,096","67,348","67,733","69,244","70,884","71,761","73,157","75,088","76,831","79,079","81,603","83,028"
418,"Mountain View city, California","74,066","74,008","74,236","75,108","76,507","77,955","79,150","80,345","80,821","81,189","83,168","82,739"
419,"Sioux City city, Iowa","82,684","82,693","82,858","83,096","82,689","82,608","82,534","82,669","82,748","82,234","82,380","82,651"
420,"Lynchburg city, Virginia","75,568","75,534","75,548","76,584","77,269","77,940","78,141","79,134","79,710","80,523","81,309","82,168"
