table with row headers in column B and column headers in rows 3 through 4,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 50,000 or More, Ranked by July 1, 2019 Population: April 1, 2010 to July 1, 2019",,,,,,,,,,,,,
Rank,Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
44,"Virginia Beach city, Virginia","437,994","437,903","438,859","442,583","445,044","447,706","448,864","450,304","450,983","449,896","449,849","449,974"
45,"Oakland city, California","390,724","390,765","391,406","396,086","401,104","406,648","412,901","418,211","420,947","424,382","429,056","433,031"
46,"Minneapolis city, Minnesota","382,578","382,603","383,067","388,052","392,768","400,070","407,067","411,030","415,079","420,925","424,903","429,606"
47,"Tulsa city, Oklahoma","391,906","392,004","392,403","393,005","394,643","398,401","399,892","403,491","404,007","402,060","400,414","401,190"
48,"Tampa city, Florida","335,709","336,150","337,053","342,589","348,090","355,172","362,664","371,464","380,344","391,026","397,232","399,700"
49,"Arlington city, Texas","365,438","365,098","365,892","370,253","375,629","378,950","382,721","388,728","394,384","397,173","398,123","398,854"
50,"New Orleans city, Louisiana","343,829","343,828","347,772","360,735","369,787","378,637","383,940","389,742","391,843","391,493","391,004","390,144"
51,"Wichita city, Kansas","382,368","382,437","382,745","383,773","385,751","387,210","388,416","389,412","390,519","390,277","389,231","389,938"
52,"Bakersfield city, California","347,483","347,817","348,987","353,221","357,312","362,834","366,954","371,348","374,699","377,940","381,714","384,145"
53,"Cleveland city, Ohio","396,815","396,665","395,926","392,667","391,550","391,792","390,871","389,244","387,662","385,252","383,214","381,009"
54,"Aurora city, Colorado","325,078","324,659","326,055","332,730","339,261","345,613","352,660","360,098","363,277","367,574","374,572","379,289"
55,"Anaheim city, California","336,265","336,109","336,760","339,831","342,071","343,832","344,604","348,251","350,013","350,476","350,698","350,365"
56,"Urban Honolulu CDP, Hawaii","337,256","337,721","339,121","343,059","346,845","349,237","349,561","351,571","351,747","349,750","346,945","345,064"
57,"Santa Ana city, California","324,528","324,774","325,327","328,227","330,550","333,716","333,431","333,417","333,765","332,627","331,912","332,318"
58,"Riverside city, California","303,871","303,933","305,466","309,472","312,323","315,510","317,702","320,483","323,684","326,882","329,654","331,360"
59,"Corpus Christi city, Texas","305,215","305,226","305,272","308,103","312,390","317,043","320,765","324,672","325,786","325,568","326,307","326,586"
60,"Lexington-Fayette urban county, Kentucky","295,803","295,870","296,848","301,696","305,947","309,865","311,784","315,819","319,644","321,964","322,426","323,152"
61,"Henderson city, Nevada","257,729","257,001","257,452","258,752","263,278","268,274","274,255","282,167","289,480","299,314","309,518","320,189"
62,"Stockton city, California","291,707","292,182","292,888","295,363","297,045","297,493","301,062","304,550","307,158","310,143","311,628","312,697"
63,"St. Paul city, Minnesota","285,068","285,112","285,510","288,872","291,280","295,054","297,655","299,915","302,948","304,913","306,960","308,096"
64,"Cincinnati city, Ohio","296,943","297,025","296,980","296,187","296,900","297,905","298,626","299,439","299,748","301,587","302,277","303,940"
65,"St. Louis city, Missouri","319,294","319,289","319,336","319,344","319,416","318,476","317,399","316,010","312,633","308,233","303,419","300,576"
66,"Pittsburgh city, Pennsylvania","305,704","305,245","305,283","306,012","306,355","306,902","305,964","304,070","304,643","301,494","300,570","300,286"
67,"Greensboro city, North Carolina","269,666","268,936","269,598","272,430","276,041","279,244","282,261","284,610","289,182","291,537","294,518","296,710"
68,"Lincoln city, Nebraska","258,379","258,794","259,455","262,690","265,861","269,129","274,128","277,345","281,339","284,527","286,930","289,102"
69,"Anchorage municipality, Alaska","291,826","291,836","293,321","296,197","298,255","301,142","299,893","297,547","297,249","294,338","290,521","288,000"
70,"Plano city, Texas","259,841","259,859","261,234","267,035","272,329","274,708","278,226","283,887","287,269","287,715","288,747","287,677"
71,"Orlando city, Florida","238,300","238,836","239,326","243,620","249,935","255,135","262,469","270,786","278,512","281,804","285,903","287,442"
72,"Irvine city, California","212,375","212,107","213,450","220,303","229,063","236,057","247,136","255,382","265,345","276,000","281,732","287,401"
73,"Newark city, New Jersey","277,140","277,135","277,175","277,574","277,594","278,121","278,936","279,636","280,681","281,237","281,752","282,011"
74,"Durham city, North Carolina","228,330","229,892","230,727","235,341","241,117","246,992","253,290","258,647","265,499","269,844","274,557","278,993"
75,"Chula Vista city, California","243,916","243,923","244,648","248,318","252,379","256,691","259,885","264,206","266,238","269,046","270,819","274,492"
76,"Toledo city, Ohio","287,208","287,357","287,065","285,425","283,185","282,352","280,712","279,898","278,897","276,688","274,864","272,779"
77,"Fort Wayne city, Indiana","253,691","253,739","254,161","256,293","257,626","259,333","260,570","262,109","263,513","265,128","267,460","270,402"
78,"St. Petersburg city, Florida","244,769","245,177","245,222","245,871","246,656","248,453","252,225","255,041","259,266","262,588","264,466","265,351"
79,"Laredo city, Texas","236,091","235,780","236,807","241,195","245,728","249,602","252,734","255,271","257,862","259,324","260,856","262,491"
80,"Jersey City city, New Jersey","247,597","247,608","248,324","252,877","256,072","257,119","258,632","260,171","260,427","263,292","263,851","262,075"
81,"Chandler city, Arizona","236,123","236,157","236,454","236,834","237,660","239,888","240,888","243,679","247,845","253,599","257,186","261,165"
82,"Madison city, Wisconsin","233,209","233,173","233,730","236,908","239,880","243,233","245,848","248,788","252,677","255,786","257,854","259,680"
83,"Lubbock city, Texas","229,573","229,943","231,105","233,928","236,361","239,708","244,350","247,950","251,387","254,432","256,469","258,862"
84,"Scottsdale city, Arizona","217,385","217,492","217,638","220,816","225,191","228,887","233,949","241,073","247,953","251,396","254,479","258,069"
85,"Reno city, Nevada","225,221","225,317","225,652","227,061","228,926","230,987","234,096","238,082","242,143","246,615","250,146","255,601"
86,"Buffalo city, New York","261,310","261,346","261,275","260,701","260,155","260,013","259,548","258,165","256,816","256,301","255,781","255,284"
87,"Gilbert town, Arizona","208,453","208,462","209,493","211,466","215,916","221,626","227,308","232,401","237,139","242,695","249,914","254,114"
88,"Glendale city, Arizona","226,721","226,172","226,236","229,304","233,588","236,869","239,964","243,103","245,903","247,784","249,955","252,381"
89,"North Las Vegas city, Nevada","216,961","216,667","216,836","218,291","221,856","225,346","228,680","232,537","236,513","240,504","245,349","251,974"
90,"Winston-Salem city, North Carolina","229,617","229,627","230,022","231,867","233,867","235,728","238,478","239,755","241,776","244,501","246,535","247,945"
91,"Chesapeake city, Virginia","222,209","222,311","223,556","225,361","228,091","230,327","233,360","235,111","237,464","240,143","242,359","244,835"
92,"Norfolk city, Virginia","242,803","242,827","242,999","243,655","246,149","245,468","246,576","246,457","245,680","244,543","243,585","242,742"
93,"Fremont city, California","214,089","214,074","214,553","217,391","221,426","224,796","228,274","231,687","233,478","234,544","237,811","241,110"
94,"Garland city, Texas","226,876","226,908","227,345","230,055","233,698","234,660","235,590","237,161","236,310","238,327","241,709","239,928"
95,"Irving city, Texas","216,290","216,285","216,859","219,859","225,748","228,943","232,584","237,201","239,898","240,608","241,424","239,798"
96,"Hialeah city, Florida","224,669","224,704","225,470","228,127","230,445","232,316","232,850","233,872","234,283","236,314","234,941","233,339"
97,"Richmond city, Virginia","204,214","204,375","204,302","206,391","210,794","213,860","217,044","220,856","225,369","227,230","229,221","230,436"
98,"Boise City city, Idaho","205,671","209,384","209,576","212,635","215,627","217,330","219,440","220,850","224,604","227,648","228,442","228,959"
99,"Spokane city, Washington","208,916","209,455","209,525","209,042","209,304","210,036","211,095","212,545","215,191","217,415","219,332","222,081"
100,"Baton Rouge city, Louisiana","229,493","229,423","229,374","228,643","228,889","228,346","227,851","227,202","226,686","224,414","222,190","220,236"
101,"Tacoma city, Washington","198,397","198,247","198,230","199,519","201,537","202,127","203,740","206,784","210,248","213,417","216,111","217,827"
102,"San Bernardino city, California","209,924","210,422","210,637","212,159","213,161","213,789","214,222","215,325","216,036","216,902","216,323","215,784"
103,"Modesto city, California","201,165","203,114","203,301","204,017","205,040","206,075","207,652","209,245","211,231","213,000","214,389","215,196"
104,"Fontana city, California","196,069","196,458","197,317","199,880","201,212","202,670","203,972","206,163","208,718","211,122","213,202","214,547"
105,"Des Moines city, Iowa","203,433","204,220","205,032","207,924","210,244","212,026","214,350","215,243","216,308","216,662","215,994","214,237"
106,"Moreno Valley city, California","193,365","193,305","194,240","196,590","198,214","200,195","201,831","202,919","204,711","206,741","208,889","213,055"
107,"Santa Clarita city, California","176,320","208,778","208,822","209,843","210,672","211,376","212,283","213,184","213,526","213,734","213,549","212,979"
108,"Fayetteville city, North Carolina","200,564","200,565","208,337","208,745","208,884","211,069","210,076","209,596","211,065","209,091","210,748","211,657"
109,"Birmingham city, Alabama","212,237","212,585","212,328","212,095","211,287","211,765","211,651","212,259","211,977","211,533","210,487","209,403"
110,"Oxnard city, California","197,899","198,047","198,539","199,968","201,105","202,835","204,560","206,228","207,455","208,831","209,271","208,881"
111,"Rochester city, New York","210,565","210,674","210,217","210,491","210,329","210,179","209,329","208,561","207,659","206,410","206,004","205,695"
112,"Port St. Lucie city, Florida","164,603","164,203","164,848","166,283","167,888","169,405","172,669","177,695","183,521","189,119","194,808","201,846"
113,"Grand Rapids city, Michigan","188,040","188,036","188,007","189,104","190,821","192,982","194,335","195,056","196,556","199,135","200,136","201,013"
114,"Huntsville city, Alabama","180,105","180,395","180,941","182,327","183,748","186,001","187,834","190,333","192,412","195,420","198,125","200,574"
115,"Salt Lake City city, Utah","186,440","186,433","186,643","188,265","190,183","192,121","191,837","192,163","194,680","200,932","200,435","200,567"
